Time - V_0	Amplitude - V_0	Time - V_L	Amplitude - V_L	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0,000419	2,52217	0,000419	0,0302893	0,000419	2,45579	0,000419	0,0335117
0,000426	2,52056	0,000426	0,0290003	0,000426	2,45611	0,000426	0,0328672
0,000432	2,52217	0,000432	0,0315782	0,000432	2,45579	0,000432	0,0338339
0,000439	2,51863	0,000439	0,0293226	0,000439	2,45579	0,000439	0,0338339
0,000446	2,51992	0,000446	0,0286781	0,000446	2,45579	0,000446	0,0338339
0,000452	2,52088	0,000452	0,0293226	0,000452	2,45515	0,000452	0,0341561
0,000459	2,52056	0,000459	0,0306115	0,000459	2,45547	0,000459	0,0341561
0,000465	2,5196	0,000465	0,0293226	0,000465	2,45515	0,000465	0,0351228
0,000472	2,51895	0,000472	0,0325449	0,000472	2,45547	0,000472	0,0338339
0,000479	2,51895	0,000479	0,0306115	0,000479	2,45515	0,000479	0,0341561
0,000485	2,52121	0,000485	0,0296448	0,000485	2,45515	0,000485	0,0344784
0,000492	2,52121	0,000492	0,0277114	0,000492	2,45579	0,000492	0,0344784
0,000499	2,52056	0,000499	0,0296448	0,000499	2,45515	0,000499	0,0341561
0,000505	2,52185	0,000505	0,0296448	0,000505	2,45579	0,000505	0,0344784
0,000512	2,51927	0,000512	0,0286781	0,000512	2,45547	0,000512	0,0344784
0,000519	2,51992	0,000519	0,0319005	0,000519	2,45547	0,000519	0,0331894
0,000525	2,52217	0,000525	0,0283558	0,000525	2,45482	0,000525	0,0344784
0,000532	2,52024	0,000532	0,0296448	0,000532	2,45482	0,000532	0,0341561
0,000539	2,52217	0,000539	0,0309337	0,000539	2,45547	0,000539	0,0344784
0,000545	2,51992	0,000545	0,0286781	0,000545	2,45547	0,000545	0,0348006
0,000552	2,52217	0,000552	0,0293226	0,000552	2,45579	0,000552	0,0341561
0,000559	2,52185	0,000559	0,029967	0,000559	2,45579	0,000559	0,0335117
0,000565	2,52378	0,000565	0,0302893	0,000565	2,45547	0,000565	0,0344784
0,000572	2,52314	0,000572	0,0302893	0,000572	2,45515	0,000572	0,0344784
0,000579	2,52314	0,000579	0,0280336	0,000579	2,45579	0,000579	0,0354451
0,000585	2,52185	0,000585	0,0322227	0,000585	2,45579	0,000585	0,0341561
0,000592	2,52185	0,000592	0,0277114	0,000592	2,45611	0,000592	0,0341561
0,000598	2,52314	0,000598	0,0309337	0,000598	2,45611	0,000598	0,0344784
0,000605	2,52217	0,000605	0,029967	0,000605	2,45611	0,000605	0,0344784
0,000612	2,52411	0,000612	0,0309337	0,000612	2,45579	0,000612	0,0348006
0,000618	2,52217	0,000618	0,0306115	0,000618	2,45611	0,000618	0,0344784
0,000625	2,5196	0,000625	0,0277114	0,000625	2,45579	0,000625	0,0344784
0,000632	2,52217	0,000632	0,029967	0,000632	2,45611	0,000632	0,0341561
0,000638	2,52056	0,000638	0,0325449	0,000638	2,45644	0,000638	0,0341561
0,000645	2,52121	0,000645	0,0286781	0,000645	2,45644	0,000645	0,0341561
0,000652	2,52088	0,000652	0,029967	0,000652	2,45676	0,000652	0,0341561
0,000658	2,52153	0,000658	0,0306115	0,000658	2,45611	0,000658	0,0341561
