Time - V_0	Amplitude - V_0	Time - V_L	Amplitude - V_L	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0	2,19542	0	4,57391	0	-2,44062	0	0,785616
6,65E-06	2,46578	6,65E-06	3,66195	6,65E-06	-2,33815	6,65E-06	1,49422
1,33E-05	2,44935	1,33E-05	2,87793	1,33E-05	-2,17477	1,33E-05	2,04042
2,00E-05	2,4371	2,00E-05	2,18672	2,00E-05	-1,96532	2,00E-05	2,45708
2,66E-05	2,42647	2,66E-05	1,5809	2,66E-05	-1,72332	2,66E-05	2,76321
3,33E-05	2,41841	3,33E-05	1,06049	3,33E-05	-1,4578	3,33E-05	2,97299
3,99E-05	2,41261	3,99E-05	0,613541	3,99E-05	-1,17649	3,99E-05	3,0977
4,66E-05	2,41487	4,66E-05	0,237488	4,66E-05	-0,887764	4,66E-05	3,14829
5,32E-05	2,41261	5,32E-05	-0,0696044	5,32E-05	-0,598396	5,32E-05	3,13347
5,99E-05	2,41293	5,99E-05	-0,311605	5,99E-05	-0,311927	5,99E-05	3,06064
6,65E-05	2,41841	6,65E-05	-0,48948	6,65E-05	-0,0348028	6,65E-05	2,94399
7,32E-05	2,42292	7,32E-05	-0,619019	7,32E-05	0,229755	7,32E-05	2,7964
7,98E-05	2,42711	7,98E-05	-0,706345	7,98E-05	0,479489	7,98E-05	2,62916
8,65E-05	2,43162	8,65E-05	-0,767248	8,65E-05	0,713112	8,65E-05	2,45257
9,31E-05	2,44032	9,31E-05	-0,799471	9,31E-05	0,929657	9,31E-05	2,26825
9,98E-05	2,44451	9,98E-05	-0,812361	9,98E-05	1,12783	9,98E-05	2,0836
0,000106	2,45321	0,000106	-0,808494	0,000106	1,30893	0,000106	1,90315
0,000113	2,45676	0,000113	-0,792704	0,000113	1,4736	0,000113	1,72817
0,00012	2,46288	0,00012	-0,768214	0,00012	1,62183	0,00012	1,55964
0,000126	2,46707	0,000126	-0,736635	0,000126	1,75556	0,000126	1,40109
0,000133	2,47577	0,000133	-0,697967	0,000133	1,87382	0,000133	1,25157
0,00014	2,47867	0,00014	-0,658654	0,00014	1,97984	0,00014	1,1114
0,000146	2,48576	0,000146	-0,616119	0,000146	2,07264	0,000146	0,980571
0,000153	2,48802	0,000153	-0,567461	0,000153	2,15449	0,000153	0,859731
0,00016	2,49124	0,00016	-0,522026	0,00016	2,2241	0,00016	0,749525
0,000166	2,49607	0,000166	-0,475301	0,000166	2,285	0,000166	0,64802
0,000173	2,49897	0,000173	-0,430833	0,000173	2,33753	0,000173	0,556182
0,00018	2,50219	0,00018	-0,38733	0,00018	2,38168	0,00018	0,473367
0,000186	2,50509	0,000186	-0,34254	0,000186	2,41841	0,000186	0,39893
0,000193	2,50671	0,000193	-0,30226	0,000193	2,44902	0,000193	0,33126
0,000199	2,50799	0,000199	-0,263591	0,000199	2,47255	0,000199	0,272612
0,000206	2,51251	0,000206	-0,223956	0,000206	2,4922	0,000206	0,220732
0,000213	2,51154	0,000213	-0,190766	0,000213	2,50767	0,000213	0,175619
0,000219	2,51573	0,000219	-0,16112	0,000219	2,51798	0,000219	0,137594
0,000226	2,51444	0,000226	-0,131796	0,000226	2,52636	0,000226	0,104726
0,000233	2,51573	0,000233	-0,105695	0,000233	2,53087	0,000233	0,076047
0,000239	2,51895	0,000239	-0,0815272	0,000239	2,53377	0,000239	0,0522014
0,000246	2,51863	0,000246	-0,0618707	0,000246	2,53442	0,000246	0,0344784
0,000253	2,5196	0,000253	-0,040603	0,000253	2,53377	0,000253	0,0186887
0,000259	2,52088	0,000259	-0,0277135	0,000259	2,53216	0,000259	0,00741039
0,000266	2,5196	0,000266	-0,0132128	0,000266	2,52894	0,000266	-0,00129003
0,000273	2,51927	0,000273	-0,00161227	0,000273	2,52475	0,000273	-0,00902374
0,000279	2,51863	0,000279	0,00805487	0,000279	2,52056	0,000279	-0,0125684
0,000286	2,52314	0,000286	0,0148219	0,000286	2,51605	0,000286	-0,014824
0,000293	2,5225	0,000293	0,0219111	0,000293	2,51122	0,000293	-0,0154685
0,000299	2,52185	0,000299	0,0286781	0,000299	2,50735	0,000299	-0,0154685
0,000306	2,52088	0,000306	0,0280336	0,000306	2,50219	0,000306	-0,0132128
0,000313	2,52121	0,000313	0,0341561	0,000313	2,49801	0,000313	-0,0122461
0,000319	2,52314	0,000319	0,0338339	0,000319	2,49382	0,000319	-0,0103127
0,000326	2,52056	0,000326	0,0364118	0,000326	2,49027	0,000326	-0,00837926
0,000332	2,52378	0,000332	0,0386675	0,000332	2,48705	0,000332	-0,00451241
0,000339	2,51863	0,000339	0,0377007	0,000339	2,48286	0,000339	-0,00161227
0,000346	2,51927	0,000346	0,0370563	0,000346	2,48125	0,000346	0,00128787
0,000352	2,52121	0,000352	0,0357673	0,000352	2,47706	0,000352	0,00418801
0,000359	2,52088	0,000359	0,0351228	0,000359	2,47513	0,000359	0,00676591
0,000366	2,52121	0,000366	0,0373785	0,000366	2,47319	0,000366	0,00934382
0,000372	2,5225	0,000372	0,0351228	0,000372	2,47094	0,000372	0,010955
0,000379	2,52121	0,000379	0,0348006	0,000379	2,46965	0,000379	0,0141774
0,000386	2,52088	0,000386	0,0331894	0,000386	2,46804	0,000386	0,0161108
0,000392	2,51895	0,000392	0,0302893	0,000392	2,46707	0,000392	0,017722
0,000399	2,51734	0,000399	0,0322227	0,000399	2,4661	0,000399	0,0193332
0,000406	2,51895	0,000406	0,0325449	0,000406	2,46514	0,000406	0,0209444
0,000412	2,52088	0,000412	0,0331894	0,000412	2,46481	0,000412	0,0225556
0,000419	2,52185	0,000419	0,0322227	0,000419	2,46385	0,000419	0,0238445
0,000426	2,52185	0,000426	0,0296448	0,000426	2,4632	0,000426	0,024489
0,000432	2,52121	0,000432	0,0290003	0,000432	2,4632	0,000432	0,0257779
0,000439	2,51992	0,000439	0,0290003	0,000439	2,46256	0,000439	0,0273891
0,000446	2,52056	0,000446	0,0286781	0,000446	2,46191	0,000446	0,0273891
0,000452	2,51895	0,000452	0,0290003	0,000452	2,46288	0,000452	0,0277114
0,000459	2,5225	0,000459	0,0286781	0,000459	2,46224	0,000459	0,0280336
0,000465	2,52088	0,000465	0,0261002	0,000465	2,46256	0,000465	0,0286781
0,000472	2,52056	0,000472	0,0283558	0,000472	2,46224	0,000472	0,0293226
0,000479	2,52185	0,000479	0,0254557	0,000479	2,46224	0,000479	0,0293226
0,000485	2,52153	0,000485	0,0248112	0,000485	2,46224	0,000485	0,029967
0,000492	2,52314	0,000492	0,0264224	0,000492	2,46288	0,000492	0,0290003
0,000499	2,52088	0,000499	0,0261002	0,000499	2,4632	0,000499	0,0286781
0,000505	2,52185	0,000505	0,0273891	0,000505	2,46256	0,000505	0,0290003
0,000512	2,52056	0,000512	0,0254557	0,000512	2,46256	0,000512	0,029967
0,000519	2,52088	0,000519	0,0264224	0,000519	2,46288	0,000519	0,029967
0,000525	2,52121	0,000525	0,0248112	0,000525	2,46256	0,000525	0,0290003
0,000532	2,52088	0,000532	0,0257779	0,000532	2,46224	0,000532	0,0286781
0,000539	2,52088	0,000539	0,0261002	0,000539	2,4632	0,000539	0,0286781
0,000545	2,51992	0,000545	0,0261002	0,000545	2,4632	0,000545	0,0283558
0,000552	2,51927	0,000552	0,024489	0,000552	2,46288	0,000552	0,0286781
0,000559	2,52185	0,000559	0,0251335	0,000559	2,46288	0,000559	0,0286781
0,000565	2,52185	0,000565	0,0241668	0,000565	2,46353	0,000565	0,0286781
0,000572	2,52024	0,000572	0,0254557	0,000572	2,46288	0,000572	0,0286781
0,000579	2,51992	0,000579	0,0261002	0,000579	2,4632	0,000579	0,0290003
0,000585	2,51992	0,000585	0,0273891	0,000585	2,4632	0,000585	0,0283558
0,000592	2,51992	0,000592	0,0270669	0,000592	2,46288	0,000592	0,0290003
0,000598	2,52024	0,000598	0,024489	0,000598	2,4632	0,000598	0,0290003
0,000605	2,5196	0,000605	0,0267447	0,000605	2,46385	0,000605	0,0286781
0,000612	2,52217	0,000612	0,0261002	0,000612	2,4632	0,000612	0,0286781
0,000618	2,52088	0,000618	0,0293226	0,000618	2,46353	0,000618	0,0283558
0,000625	2,52314	0,000625	0,0251335	0,000625	2,46353	0,000625	0,0283558
0,000632	2,52153	0,000632	0,0257779	0,000632	2,46385	0,000632	0,0280336
0,000638	2,52121	0,000638	0,0241668	0,000638	2,46288	0,000638	0,0286781
0,000645	2,52346	0,000645	0,0273891	0,000645	2,46353	0,000645	0,0286781
0,000652	2,52088	0,000652	0,0273891	0,000652	2,46385	0,000652	0,0283558
0,000658	2,52153	0,000658	0,0270669	0,000658	2,46385	0,000658	0,0290003
