Time - V_0	Amplitude - V_0	Time - V_L	Amplitude - V_L	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0,00016	2,4893	0,00016	-0,29646	0,00016	1,38788	0,00016	1,37725
0,000166	2,49285	0,000166	-0,276481	0,000166	1,46361	0,000166	1,28412
0,000173	2,49285	0,000173	-0,255858	0,000173	1,5345	0,000173	1,19647
0,00018	2,49349	0,00018	-0,238135	0,00018	1,59895	0,00018	1,11527
0,000186	2,49865	0,000186	-0,216867	0,000186	1,66018	0,000186	1,04051
0,000193	2,49962	0,000193	-0,199144	0,000193	1,71657	0,000193	0,969293
0,000199	2,49962	0,000199	-0,182388	0,000199	1,76877	0,000199	0,902589
0,000206	2,50477	0,000206	-0,164665	0,000206	1,81711	0,000206	0,841686
0,000213	2,50348	0,000213	-0,153064	0,000213	1,86158	0,000213	0,78465
0,000219	2,50091	0,000219	-0,13953	0,000219	1,90379	0,000219	0,73148
0,000226	2,50671	0,000226	-0,126963	0,000226	1,94181	0,000226	0,682178
0,000233	2,50574	0,000233	-0,114395	0,000233	1,97726	0,000233	0,635775
0,000239	2,50542	0,000239	-0,102473	0,000239	2,0111	0,000239	0,593562
0,000246	2,50799	0,000246	-0,0908721	0,000246	2,04107	0,000246	0,555215
0,000253	2,50767	0,000253	-0,0841051	0,000253	2,06942	0,000253	0,518802
0,000259	2,50928	0,000259	-0,0715378	0,000259	2,09585	0,000259	0,484645
0,000266	2,51025	0,000266	-0,0634819	0,000266	2,11969	0,000266	0,453388
0,000273	2,51122	0,000273	-0,0570372	0,000273	2,14225	0,000273	0,424709
0,000279	2,51218	0,000279	-0,048659	0,000279	2,16319	0,000279	0,397641
0,000286	2,51122	0,000286	-0,0422142	0,000286	2,18253	0,000286	0,372506
0,000293	2,51218	0,000293	-0,0360917	0,000293	2,19993	0,000293	0,348983
0,000299	2,51444	0,000299	-0,0309359	0,000299	2,21669	0,000299	0,328359
0,000306	2,51315	0,000306	-0,0254579	0,000306	2,23248	0,000306	0,30967
0,000313	2,51251	0,000313	-0,0212688	0,000313	2,24666	0,000313	0,290335
0,000319	2,51315	0,000319	-0,0157907	0,000319	2,26051	0,000319	0,273901
0,000326	2,51766	0,000326	-0,0109572	0,000326	2,27244	0,000326	0,257789
0,000332	2,51637	0,000332	-0,00773478	0,000332	2,28371	0,000332	0,242644
0,000339	2,51702	0,000339	-0,00515688	0,000339	2,29403	0,000339	0,229755
0,000346	2,51444	0,000346	0,000321159	0,000346	2,30401	0,000346	0,217832
0,000352	2,51734	0,000352	0,00161011	0,000352	2,31272	0,000352	0,206231
0,000359	2,51734	0,000359	0,00741039	0,000359	2,32174	0,000359	0,195275
0,000366	2,51766	0,000366	0,00902158	0,000366	2,32947	0,000366	0,185608
0,000372	2,51702	0,000372	0,0103105	0,000372	2,33688	0,000372	0,175941
0,000379	2,51702	0,000379	0,010955	0,000379	2,34365	0,000379	0,166918
0,000386	2,51734	0,000386	0,0151441	0,000386	2,34913	0,000386	0,159507
0,000392	2,51605	0,000392	0,0186887	0,000392	2,35525	0,000392	0,152417
0,000399	2,51863	0,000399	0,0196554	0,000399	2,36105	0,000399	0,144684
0,000406	2,52024	0,000406	0,019011	0,000406	2,36589	0,000406	0,138883
0,000412	2,51863	0,000412	0,0206221	0,000412	2,36943	0,000412	0,132439
0,000419	2,51927	0,000419	0,0222333	0,000419	2,37491	0,000419	0,127605
0,000426	2,52088	0,000426	0,0228778	0,000426	2,37845	0,000426	0,122772
0,000432	2,52056	0,000432	0,024489	0,000432	2,38232	0,000432	0,118582
0,000439	2,52153	0,000439	0,0251335	0,000439	2,38586	0,000439	0,113749
0,000446	2,51927	0,000446	0,0261002	0,000446	2,38909	0,000446	0,10956
0,000452	2,5196	0,000452	0,0264224	0,000452	2,39231	0,000452	0,106015
0,000459	2,51992	0,000459	0,0286781	0,000459	2,39521	0,000459	0,101826
0,000465	2,52056	0,000465	0,0309337	0,000465	2,39811	0,000465	0,0992482
0,000472	2,5196	0,000472	0,0290003	0,000472	2,40037	0,000472	0,0966703
0,000479	2,51831	0,000479	0,0290003	0,000479	2,40262	0,000479	0,0934479
0,000485	2,52024	0,000485	0,0315782	0,000485	2,40455	0,000485	0,0899033
0,000492	2,52121	0,000492	0,0315782	0,000492	2,40617	0,000492	0,0882921
0,000499	2,51992	0,000499	0,0325449	0,000499	2,40842	0,000499	0,0853919
0,000505	2,51863	0,000505	0,0322227	0,000505	2,41003	0,000505	0,0837808
0,000512	2,52024	0,000512	0,0341561	0,000512	2,41132	0,000512	0,0815251
0,000519	2,52185	0,000519	0,0338339	0,000519	2,41326	0,000519	0,0802361
0,000525	2,52088	0,000525	0,0360896	0,000525	2,41454	0,000525	0,0789472
0,000532	2,5225	0,000532	0,0354451	0,000532	2,41616	0,000532	0,077336
0,000539	2,5196	0,000539	0,0364118	0,000539	2,41744	0,000539	0,0757248
0,000545	2,52088	0,000545	0,0348006	0,000545	2,41744	0,000545	0,0737914
0,000552	2,5225	0,000552	0,0351228	0,000552	2,41906	0,000552	0,0731469
0,000559	2,52121	0,000559	0,0354451	0,000559	2,4197	0,000559	0,0728247
0,000565	2,5225	0,000565	0,0364118	0,000565	2,42067	0,000565	0,070569
0,000572	2,51992	0,000572	0,0344784	0,000572	2,42163	0,000572	0,0702468
0,000579	2,52056	0,000579	0,0364118	0,000579	2,4226	0,000579	0,0679911
0,000585	2,5196	0,000585	0,038023	0,000585	2,42389	0,000585	0,0673466
0,000592	2,51927	0,000592	0,0389897	0,000592	2,42389	0,000592	0,0663799
0,000598	2,52088	0,000598	0,0393119	0,000598	2,42421	0,000598	0,0657354
0,000605	2,52153	0,000605	0,0383452	0,000605	2,42518	0,000605	0,0660577
0,000612	2,51895	0,000612	0,0393119	0,000612	2,42614	0,000612	0,0647687
0,000618	2,52024	0,000618	0,0389897	0,000618	2,42647	0,000618	0,0641242
0,000625	2,51992	0,000625	0,0377007	0,000625	2,42679	0,000625	0,0631575
0,000632	2,52185	0,000632	0,0370563	0,000632	2,42808	0,000632	0,0628353
0,000638	2,52314	0,000638	0,0373785	0,000638	2,42776	0,000638	0,0621908
0,000645	2,52056	0,000645	0,0393119	0,000645	2,42872	0,000645	0,0634798
0,000652	2,52056	0,000652	0,0389897	0,000652	2,42905	0,000652	0,0621908
0,000658	2,52217	0,000658	0,0396342	0,000658	2,42905	0,000658	0,0612241
