Time - V_0	Amplitude - V_0	Time - V_L	Amplitude - V_L	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0	2,20831	0	4,43374	0	-2,44126	0	1,16296
6,65E-06	2,46385	6,65E-06	3,13734	6,65E-06	-2,34491	6,65E-06	2,14547
1,33E-05	2,45515	1,33E-05	2,17705	1,33E-05	-2,19475	1,33E-05	2,81832
2,00E-05	2,44322	2,00E-05	1,43847	2,00E-05	-2,00979	2,00E-05	3,26946
2,66E-05	2,44129	2,66E-05	0,868754	2,66E-05	-1,80388	2,66E-05	3,55239
3,33E-05	2,43646	3,33E-05	0,435343	3,33E-05	-1,58412	3,33E-05	3,70481
3,99E-05	2,4371	3,99E-05	0,114071	3,99E-05	-1,36016	3,99E-05	3,75798
4,66E-05	2,43356	4,66E-05	-0,122451	4,66E-05	-1,13492	4,66E-05	3,73285
5,32E-05	2,43646	5,32E-05	-0,283892	5,32E-05	-0,913543	5,32E-05	3,64777
5,99E-05	2,43871	5,99E-05	-0,388619	5,99E-05	-0,698934	5,99E-05	3,52145
6,65E-05	2,4429	6,65E-05	-0,456934	6,65E-05	-0,493024	6,65E-05	3,37
7,32E-05	2,44709	7,32E-05	-0,49238	7,32E-05	-0,29646	7,32E-05	3,20598
7,98E-05	2,44902	7,98E-05	-0,510103	7,98E-05	-0,10924	7,98E-05	3,03809
8,65E-05	2,45386	8,65E-05	-0,512036	8,65E-05	0,0663799	8,65E-05	2,86665
9,31E-05	2,45901	9,31E-05	-0,507847	9,31E-05	0,230721	9,31E-05	2,69908
9,98E-05	2,46159	9,98E-05	-0,496891	9,98E-05	0,386685	9,98E-05	2,53603
0,000106	2,46836	0,000106	-0,478524	0,000106	0,53137	0,000106	2,37716
0,000113	2,46675	0,000113	-0,458223	0,000113	0,667032	0,000113	2,22571
0,00012	2,47223	0,00012	-0,436311	0,00012	0,792706	0,00012	2,08231
0,000126	2,47577	0,000126	-0,413754	0,000126	0,910967	0,000126	1,94665
0,000133	2,4806	0,000133	-0,389586	0,000133	1,02085	0,000133	1,8184
0,00014	2,48189	0,00014	-0,366707	0,00014	1,12332	0,00014	1,69691
0,000146	2,48512	0,000146	-0,342217	0,000146	1,21806	0,000146	1,58316
0,000153	2,48898	0,000153	-0,319661	0,000153	1,30636	0,000153	1,47585
