0	2.2357	0	4.49174	0	-2.4403	0	1.0476
6.65E-06	2.4661	6.65E-06	3.2991	6.65E-06	-2.34137	6.65E-06	1.94149
1.33E-05	2.45354	1.33E-05	2.39166	1.33E-05	-2.18573	1.33E-05	2.5805
2.00E-05	2.44226	2.00E-05	1.65921	2.00E-05	-1.99336	2.00E-05	3.02939
2.66E-05	2.43549	2.66E-05	1.07176	2.66E-05	-1.7752	2.66E-05	3.32682
3.33E-05	2.43291	3.33E-05	0.603551	3.33E-05	-1.54094	3.33E-05	3.50244
3.99E-05	2.42905	3.99E-05	0.236199	3.99E-05	-1.29894	3.99E-05	3.57978
4.66E-05	2.43162	4.66E-05	-0.0435032	4.66E-05	-1.05372	4.66E-05	3.57688
5.32E-05	2.42905	5.32E-05	-0.247157	5.32E-05	-0.813005	5.32E-05	3.51146
5.99E-05	2.43356	5.99E-05	-0.389264	5.99E-05	-0.57745	5.99E-05	3.39771
6.65E-05	2.43775	6.65E-05	-0.483679	6.65E-05	-0.349951	6.65E-05	3.25206
7.32E-05	2.44	7.32E-05	-0.542649	7.32E-05	-0.134696	7.32E-05	3.089
7.98E-05	2.44516	7.98E-05	-0.576484	7.98E-05	0.0686356	7.98E-05	2.91757
8.65E-05	2.44999	8.65E-05	-0.591629	8.65E-05	0.261012	8.65E-05	2.74001
9.31E-05	2.45192	9.31E-05	-0.594851	9.31E-05	0.440176	9.31E-05	2.5631
9.98E-05	2.45934	9.98E-05	-0.582606	9.98E-05	0.60774	9.98E-05	2.39134
0.000106	2.46062	0.000106	-0.566817	0.000106	0.762415	0.000106	2.2241
0.000113	2.46417	0.000113	-0.546838	0.000113	0.906134	0.000113	2.06394
0.00012	2.46836	0.00012	-0.521381	0.00012	1.0389	0.00012	1.91249
0.000126	2.47384	0.000126	-0.494313	0.000126	1.16135	0.000126	1.76748
0.000133	2.47577	0.000133	-0.466601	0.000133	1.27316	0.000133	1.63279
0.00014	2.47996	0.00014	-0.434055	0.00014	1.37725	0.00014	1.50453
0.000146	2.48286	0.000146	-0.407631	0.000146	1.47166	0.000146	1.38627
